"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DDX1",0.0187081412055477,-0.59281649385118,0.093,0.236,1
"EIF2B2",0.0187082107879148,-1.23700431385742,0.084,0.255,1
"SREBF1",0.0187279812310442,1.28925911169909,0.243,0.091,1
"LINC01137",0.0188855240861907,-0.805802906457166,0.009,0.055,1
"USF3",0.0192409922398427,1.02615587679402,0.271,0.109,1
"XIST",0.0193617645924576,-1.53795650873144,0.075,0.255,1
"GID4",0.0196345855721884,-0.636715220482754,0.019,0.091,1
"KLF10",0.0196980918490031,-1.34718746400826,0.093,0.236,1
"TBC1D23",0.019834214004384,-1.29981249785114,0.065,0.182,1
"CCDC14",0.0200240184489381,-0.929300879240298,0.112,0.255,1
"BTLA",0.0201386312877947,0.307003394503203,0.318,0.382,1
"SPTY2D1",0.0202119625136787,1.45657254889361,0.196,0.073,1
"CCDC7",0.0203797474999975,-0.393614992457657,0.065,0.164,1
"CAPS",0.0204739526097939,-0.575231707364697,0.009,0.055,1
"AL133243.2",0.0205760077025706,1.12132583768025,0.084,0,1
"CERS5",0.020637400777509,0.449590914303166,0.215,0.255,1
"TP53INP2",0.0206716801715781,-0.856194802295378,0.019,0.091,1
"SP1",0.0207021953105135,1.37809322748424,0.15,0.055,1
"LINC01136",0.0207713378210382,0.931998371453822,0.065,0,1
"PRMT9",0.0208269340483237,0.466084421971591,0.15,0.164,1
"NR4A1",0.0208475299819536,1.7145219834671,0.159,0.109,1
"TRAV39",0.0209037537545994,1.87428601775022,0.065,0,1
"AKT2",0.0209145206945741,1.1947875901789,0.43,0.236,1
"SNHG17",0.0209294910089552,-0.499745731003626,0.178,0.345,1
"ITPKB",0.0210187776220731,0.0973375356319057,0.589,0.691,1
"CENPX",0.0211530243107238,-0.810553217600503,0.262,0.473,1
"SERPINI1",0.0212769482615121,1.04064978680232,0.056,0,1
"HAX1",0.0213969731548571,-0.664401548254163,0.364,0.564,1
"MICOS10",0.0214440575542705,-0.356123215447353,0.607,0.782,1
"SHARPIN",0.0214986738924044,-0.691064883602297,0.308,0.545,1
"CEP85",0.0216108461923875,1.10809536460266,0.075,0,1
"SINHCAF",0.0216163175214048,0.926737211228434,0.383,0.255,1
"ALG14",0.0216826936425172,-1.25682815501429,0.019,0.145,1
"ATG9B",0.0217543682969197,1.21463670855029,0.084,0,1
"ZNF623",0.0219105431033953,1.16902323354573,0.121,0.018,1
"PAGR1",0.0220047372589471,0.947182606621904,0.28,0.2,1
"RPUSD1",0.0220930313833959,-0.862686336468296,0.093,0.236,1
"PDCD4",0.0221741735648186,-0.11717822499849,0.561,0.691,1
"FUBP3",0.0223053671157095,-0.912825654599387,0.084,0.236,1
"C1RL-AS1",0.0223096562744966,1.06724497396206,0.075,0,1
"UBN2",0.0224519672830901,0.681039283905807,0.187,0.073,1
"POU3F1",0.0224813872108888,0.930996908440829,0.346,0.309,1
"DYM",0.0225720922976762,-1.48626833546072,0.15,0.291,1
"BCAT2",0.0226179668530075,-1.36056058394169,0.028,0.145,1
"SLC35E3",0.022803679628959,1.06264707232945,0.065,0,1
"NDUFA9",0.0228751885235442,1.01370694414747,0.346,0.236,1
"ANKRD42",0.0228859367784394,0.642689263672135,0.047,0,1
"HPGDS",0.0229428341550582,-0.888416242816226,0.019,0.073,1
"RHOC",0.023858792102482,-0.459859390258981,0.336,0.309,1
