"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF830",0.0352018694727204,0.852191938834349,0.282,0.173,1
"NR2C1",0.0354411753184449,-0.742062060784225,0.064,0.231,1
"RPL31",0.0356281021784555,-0.263904831992191,0.962,0.962,1
"LMBRD1",0.0356835001724775,-0.840871910322275,0.269,0.538,1
"C1orf162",0.0358209695857964,-2.02633321902102,0.038,0.192,1
"PBDC1",0.0358311938008587,-1.05999243349275,0.09,0.269,1
"COQ10A",0.0360459462940051,-0.804639736203373,0.026,0.135,1
"TRGV10",0.0362037522780335,2.04421172482521,0.103,0,1
"ZMYM1",0.0362037522780337,1.47701759281529,0.103,0,1
"CHD1L",0.0362783933439019,0.206709891324004,0.128,0.096,1
"RRBP1",0.0363260620217978,0.734061352559272,0.192,0.115,1
"DGKA",0.0363406356142458,0.247985484899613,0.782,0.692,1
"GLB1",0.036568686866544,0.919708368508255,0.256,0.154,1
"FAHD2B",0.036720036680266,0.223139006962389,0.103,0.038,1
"CHMP5",0.036807732331766,0.198785147942099,0.385,0.269,1
"GTPBP4",0.0368897180167139,0.410965978465512,0.167,0.212,1
"BUD13",0.0376208726436019,-1.49239841436062,0.051,0.231,1
"CNPY2",0.0377413420062369,0.0565687257619726,0.385,0.346,1
"FAM153CP",0.0378267786049001,-0.685624879265589,0.013,0.038,1
"TTPAL",0.037885520104069,1.74408756144573,0.128,0.019,1
"GLYR1",0.0378916572020425,0.343059978081322,0.218,0.231,1
"RPL9",0.0379140231553726,-0.291574374601626,0.987,0.981,1
"CLIP1",0.0379143868170355,-0.000503331069895641,0.295,0.404,1
"GMDS",0.0379428694048758,0.494727609706748,0.218,0.212,1
"PVALB",0.0380015723406924,0.270451571137776,0.333,0.212,1
"PDE7A",0.0380034046296482,-0.544654367364504,0.308,0.442,1
"POLR3E",0.038099689247566,1.42180798352359,0.218,0.058,1
"MTHFSD",0.0381090571583995,0.654563342024097,0.115,0.038,1
"F2R",0.0382578921794663,1.12009498184863,0.218,0.115,1
"MRPS31",0.0384536944238577,0.582362235217373,0.5,0.404,1
"SPATC1L",0.038497214632549,-0.0828584397636274,0.128,0.135,1
"YIF1A",0.0385877636013556,0.341782549116138,0.346,0.385,1
"FAM118A",0.0386667539580392,0.174149156557057,0.526,0.5,1
"IBTK",0.0387371533812999,0.606505119268835,0.295,0.231,1
"GID4",0.0389928707745245,-1.4577734539671,0,0.135,1
"KAT6A",0.0393377818052664,0.608620737503922,0.436,0.346,1
"UTP20",0.0393918718431912,0.737040114066069,0.103,0.077,1
"TMEM208",0.0394320306073695,0.44899419202337,0.269,0.212,1
"TP53INP1",0.0394551442493354,0.879912328767008,0.359,0.288,1
"SLC27A4",0.0399436651188549,-1.62010591996947,0.013,0.154,1
"SGTA",0.0400314352918837,-1.32212288662618,0.115,0.269,1
"CISH",0.040383188311957,-1.3405258720606,0,0.096,1
"PIK3AP1",0.0403831883119575,-1.5660413511091,0,0.096,1
"CCDC126",0.0405143402148717,0.788870118537196,0.115,0.058,1
"CABIN1",0.0405763885143894,-0.701443470705259,0.269,0.423,1
"LPP",0.0408186411634017,0.317074012159877,0.321,0.308,1
"NBPF19",0.0409251306834607,1.44356487870121,0.077,0,1
"ZFP62",0.040925130683461,1.14287197090292,0.077,0,1
"RELB",0.0409352016304953,1.18602290846791,0.423,0.25,1
"QRICH1",0.0409457746563177,0.676690211196034,0.346,0.25,1
"HLA-C",0.0411337238635134,0.0057217485414176,0.987,0.981,1
"C9orf78",0.0412355622193567,0.0741879666694646,0.487,0.635,1
"CDK4",0.0414816535794975,-0.817694474838056,0.256,0.404,1
"MSANTD4",0.0415173790766557,-1.13695704308422,0,0.077,1
"RNF139-AS1",0.0415173790766558,-1.0124453274813,0,0.077,1
