"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EGR1.2",2.95520585384905e-09,-0.45050469615919,0.123,0.15,0.000108163489456729,"3","EGR1"
"IDI1.2",1.88977187437153e-06,-0.273083852362865,0.339,0.32,0.0691675403738724,"3","IDI1"
"RGS1.3",0,1.57785949937369,0.633,0.255,0,"4","RGS1"
"IKZF2",0,1.41108416290431,0.482,0.038,0,"4","IKZF2"
"RTKN2",0,1.3824642458102,0.421,0.032,0,"4","RTKN2"
"FOXP3",0,1.3312201416596,0.431,0.007,0,"4","FOXP3"
"STAM.1",0,0.938738276216352,0.448,0.139,0,"4","STAM"
"GBP5.1",0,0.922747317450028,0.399,0.111,0,"4","GBP5"
"IL2RA",0,0.89313373434257,0.322,0.045,0,"4","IL2RA"
"FCRL3",0,0.888939389608328,0.26,0.006,0,"4","FCRL3"
"NCF4",0,0.591013361333866,0.243,0.045,0,"4","NCF4"
"LAIR2",0,0.497350631041082,0.158,0.015,0,"4","LAIR2"
"IL10RA.4",6.62483434001395e-277,0.970857906005287,0.635,0.308,2.42475561678851e-272,"4","IL10RA"
"HACD1",2.97625081285375e-239,0.371443922592869,0.123,0.015,1.0893375600126e-234,"4","HACD1"
"TCF7.1",1.23980554821631e-231,-0.803799110185621,0.678,0.909,4.53781228702651e-227,"4","TCF7"
"AC133644.2",2.50579898168644e-231,0.405231858411048,0.136,0.019,9.17147485287053e-227,"4","AC133644.2"
"S100A4.3",2.62906509973159e-214,0.996245968910054,0.841,0.608,9.62264117152761e-210,"4","S100A4"
"FXYD2",4.55394066291948e-200,0.419729082594092,0.131,0.02,1.66678782203516e-195,"4","FXYD2"
"TNFRSF1B.3",3.92221926597195e-194,0.77182923942724,0.489,0.221,1.43557147353839e-189,"4","TNFRSF1B"
"CTLA4.4",1.4852458316825e-193,0.875704625214812,0.478,0.204,5.43614826854113e-189,"4","CTLA4"
"NOSIP.4",2.50454918558629e-189,-0.927723437006845,0.422,0.724,9.16690047416438e-185,"4","NOSIP"
"PMAIP1.1",8.52316436814319e-182,0.907960471460055,0.34,0.126,3.11956339038409e-177,"4","PMAIP1"
"SHMT2.1",1.27193677615603e-179,0.725905811785153,0.397,0.168,4.65541579440868e-175,"4","SHMT2"
"NIBAN1",4.72126267696389e-175,0.393794094369532,0.139,0.026,1.72802935239555e-170,"4","NIBAN1"
"F5",9.24867547502005e-162,0.460014603013123,0.167,0.038,3.38510771061209e-157,"4","F5"
"LINC00402.2",1.63355543900869e-153,0.581450707271387,0.328,0.123,5.9789762623157e-149,"4","LINC00402"
"PRDM1.2",3.16740670420264e-153,0.634053029440391,0.251,0.08,1.15930252780521e-148,"4","PRDM1"
